Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (B, A) (°)"
29/6/2024 11:06:58 PM,6500.26,0.4623249,1.061861,298.6961
29/6/2024 11:06:58 PM,6500.26,0.4667348,1.052858,299.5364
29/6/2024 11:06:59 PM,6500.26,0.4667348,1.052858,299.2569
29/6/2024 11:06:59 PM,6500.26,0.4579302,1.052858,298.6023
29/6/2024 11:06:59 PM,6500.26,0.4579302,1.061861,298.5085
29/6/2024 11:06:59 PM,6500.26,0.4667348,1.061861,299.5378
29/6/2024 11:06:59 PM,6500.26,0.4579302,1.061861,298.6023
29/6/2024 11:06:59 PM,6500.26,0.4667348,1.061861,299.5379
29/6/2024 11:06:59 PM,6500.26,0.4579302,1.052858,298.5085
29/6/2024 11:06:59 PM,6500.26,0.4711295,1.052858,299.4442
29/6/2024 11:06:59 PM,6500.26,0.4623249,1.052858,299.5364
29/6/2024 11:06:59 PM,6500.26,0.4623249,1.052858,299.2569
29/6/2024 11:06:59 PM,6500.26,0.4667348,1.070864,299.6301
29/6/2024 11:06:59 PM,6500.26,0.4623249,1.061861,299.63
29/6/2024 11:06:59 PM,7000.812,0.4755394,1.007874,302.0429
29/6/2024 11:06:59 PM,7000.812,0.4667196,1.016877,300.533
29/6/2024 11:06:59 PM,7000.812,0.4711295,1.007874,303.2684
29/6/2024 11:06:59 PM,7000.812,0.4711295,1.016877,301.9312
29/6/2024 11:06:59 PM,7000.812,0.4755394,1.007874,301.9482
29/6/2024 11:06:59 PM,7000.812,0.4711295,1.016877,301.8364
29/6/2024 11:06:59 PM,7000.812,0.4711295,1.016877,301.185
29/6/2024 11:06:59 PM,7000.812,0.4667196,1.016877,300.8277
29/6/2024 11:06:59 PM,7000.812,0.4755241,1.007874,303.0617
29/6/2024 11:07:00 PM,6998.994,0.4755241,1.02588,302.0242
29/6/2024 11:07:00 PM,7000.812,0.4711295,1.02588,301.9294
29/6/2024 11:07:00 PM,7000.812,0.4711295,1.007874,303.2567
29/6/2024 11:07:00 PM,7000.812,0.4755241,1.007874,302.4962
29/6/2024 11:07:00 PM,7000.812,0.4711295,1.007874,303.0652
29/6/2024 11:07:00 PM,7000.812,0.4667196,1.007874,301.7621
29/6/2024 11:07:00 PM,6998.994,0.4711295,1.016877,302.1207
29/6/2024 11:07:00 PM,7000.812,0.4711295,1.007874,303.0822
29/6/2024 11:07:00 PM,7000.812,0.4711295,1.007874,302.8925
29/6/2024 11:07:00 PM,6998.994,0.4755394,1.007874,302.0242
29/6/2024 11:07:01 PM,7500.325,0.4799341,0.9628895,303.4035
29/6/2024 11:07:01 PM,7500.325,0.4799341,0.9628895,303.684
29/6/2024 11:07:01 PM,7500.325,0.4843287,0.9628895,302.9346
29/6/2024 11:07:01 PM,7500.325,0.4755394,0.9628895,302.841
29/6/2024 11:07:01 PM,7500.325,0.4799341,0.9628895,304.055
29/6/2024 11:07:01 PM,7500.325,0.4755394,0.9628895,302.9346
29/6/2024 11:07:01 PM,7500.325,0.484344,0.9628895,303.6828
29/6/2024 11:07:01 PM,7500.325,0.4799341,0.9628895,303.7744
29/6/2024 11:07:01 PM,7500.325,0.4887387,0.9628895,303.9644
29/6/2024 11:07:01 PM,7500.325,0.4755394,0.9628895,302.6539
29/6/2024 11:07:01 PM,8000.875,0.4887387,0.9178747,305.513
29/6/2024 11:07:01 PM,7998.801,0.4931486,0.9268776,305.0339
29/6/2024 11:07:01 PM,8000.876,0.484344,0.9178747,305.6856
29/6/2024 11:07:01 PM,7998.801,0.4887387,0.9178747,305.9649
29/6/2024 11:07:01 PM,8000.875,0.4843287,0.9088718,304.9408
29/6/2024 11:07:01 PM,8000.875,0.4887387,0.9177984,306.8159
29/6/2024 11:07:01 PM,8000.876,0.4931486,0.9132969,306.3371
29/6/2024 11:07:02 PM,8000.875,0.484344,0.9177984,306.9089
29/6/2024 11:07:02 PM,8000.875,0.4887387,0.9222999,307.546
29/6/2024 11:07:02 PM,8000.876,0.4887387,0.9268013,307.6407
29/6/2024 11:07:02 PM,8000.875,0.4843287,0.9222999,306.2441
29/6/2024 11:07:02 PM,8000.875,0.4887387,0.9222999,307.1743
29/6/2024 11:07:02 PM,7998.801,0.4887387,0.9222999,306.8953
29/6/2024 11:07:02 PM,8000.875,0.4887387,0.9132969,305.9785
29/6/2024 11:07:02 PM,8000.875,0.4887387,0.9132969,305.8718
29/6/2024 11:07:02 PM,8000.875,0.4843287,0.9177984,306.5232
29/6/2024 11:07:02 PM,8000.876,0.4931486,0.9132969,305.7787
29/6/2024 11:07:02 PM,7998.801,0.4887387,0.9222999,306.7093
29/6/2024 11:07:02 PM,8000.875,0.4887387,0.9177984,307.3614
29/6/2024 11:07:02 PM,8379.911,0.4931486,0.9087954,308.3881
29/6/2024 11:07:02 PM,8500.648,0.4931486,0.8818171,308.244
29/6/2024 11:07:02 PM,8500.647,0.4931486,0.8773156,308.5268
29/6/2024 11:07:02 PM,8500.648,0.4931486,0.8773156,309.2731
29/6/2024 11:07:02 PM,8500.647,0.4931486,0.8773156,308.432
29/6/2024 11:07:02 PM,8500.647,0.4887387,0.8773156,309.9357
29/6/2024 11:07:02 PM,8500.648,0.4931486,0.8773156,309.3665
29/6/2024 11:07:02 PM,8500.648,0.5019532,0.8818171,309.1784
29/6/2024 11:07:02 PM,8500.648,0.4931486,0.8728141,308.8037
29/6/2024 11:07:02 PM,8500.648,0.4975585,0.8773156,309.3679
29/6/2024 11:07:03 PM,8500.648,0.4931486,0.8728141,308.9918
29/6/2024 11:07:03 PM,8500.648,0.4975585,0.8728141,309.6434
29/6/2024 11:07:03 PM,8500.648,0.4975585,0.8728141,309.8329
29/6/2024 11:07:03 PM,8500.647,0.4931486,0.8728141,309.3635
29/6/2024 11:07:03 PM,8500.647,0.4975585,0.8728141,310.2993
29/6/2024 11:07:03 PM,8500.648,0.4931486,0.8773156,308.9918
29/6/2024 11:07:03 PM,8500.648,0.4887387,0.8773156,309.2746
29/6/2024 11:07:03 PM,8500.648,0.4887387,0.8818171,311.2287
29/6/2024 11:07:03 PM,8500.647,0.4975585,0.8728141,310.0305
29/6/2024 11:07:03 PM,8498.446,0.4931486,0.8773156,308.9947
29/6/2024 11:07:03 PM,8498.446,0.4887387,0.8818171,309.365
29/6/2024 11:07:03 PM,8500.647,0.4931486,0.8728141,308.8985
29/6/2024 11:07:03 PM,8999.644,0.4931486,0.841319,311.4524
29/6/2024 11:07:03 PM,8999.644,0.4975585,0.8413038,312.3778
29/6/2024 11:07:03 PM,8999.644,0.5019532,0.8458205,312.0955
29/6/2024 11:07:03 PM,9001.974,0.5063631,0.8413038,312.6731
29/6/2024 11:07:03 PM,9001.974,0.4975585,0.8368175,312.9555
29/6/2024 11:07:03 PM,8999.644,0.4931486,0.8368175,311.8133
