Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (?),Peak to peak (B) (V),"Phase (B, A) (?)"
30/6/2024 2:41:27 AM,33003.5,0.2660909,0.6748558,59.63948
30/6/2024 2:41:27 AM,33003.5,0.2696188,0.6748558,61.03545
30/6/2024 2:41:27 AM,33003.5,0.2660909,0.6703543,60.22004
30/6/2024 2:41:27 AM,33003.5,0.2678549,0.6703543,58.65038
30/6/2024 2:41:27 AM,33003.5,0.2678549,0.6703543,59.25122
30/6/2024 2:41:27 AM,33003.5,0.2678549,0.6748558,59.73642
30/6/2024 2:41:27 AM,33003.5,0.2660909,0.6703543,60.00088
30/6/2024 2:41:27 AM,33003.5,0.264333,0.6748558,60.46605
30/6/2024 2:41:27 AM,33003.5,0.2643269,0.6703543,59.05672
30/6/2024 2:41:27 AM,33003.5,0.264333,0.6703543,60.20173
30/6/2024 2:41:27 AM,33003.5,0.2625691,0.6748558,60.12347
30/6/2024 2:41:27 AM,32995.03,0.2625691,0.6748558,60.39509
30/6/2024 2:41:27 AM,33003.5,0.2643269,0.6703543,59.34842
30/6/2024 2:41:27 AM,33003.5,0.2678549,0.6703543,59.44547
30/6/2024 2:41:27 AM,33003.5,0.2696188,0.6703543,60.77217
30/6/2024 2:41:27 AM,32995.03,0.2660909,0.679342,58.5695
30/6/2024 2:41:28 AM,33496.47,0.264333,0.6838435,61.38033
30/6/2024 2:41:28 AM,33505.07,0.2590472,0.6838435,61.19062
30/6/2024 2:41:28 AM,33505.07,0.266097,0.6838435,62.27973
30/6/2024 2:41:28 AM,33505.07,0.2625691,0.6838435,61.10406
30/6/2024 2:41:28 AM,33505.07,0.2660909,0.6838435,60.81899
30/6/2024 2:41:28 AM,33496.47,0.2660909,0.679342,59.75246
30/6/2024 2:41:28 AM,33496.47,0.2696188,0.688345,61.10407
30/6/2024 2:41:28 AM,33496.47,0.2660909,0.6838435,59.56072
30/6/2024 2:41:28 AM,33505.07,0.264333,0.679342,60.53337
30/6/2024 2:41:28 AM,33505.07,0.2660909,0.6838435,59.96038
30/6/2024 2:41:28 AM,33505.07,0.2625691,0.679342,58.52296
30/6/2024 2:41:28 AM,33505.07,0.2660909,0.6748558,60.24717
30/6/2024 2:41:28 AM,33496.47,0.2608051,0.688345,59.46475
30/6/2024 2:41:28 AM,33505.07,0.2678549,0.6838435,60.43805
30/6/2024 2:41:28 AM,33505.07,0.2608112,0.6838435,60.23812
30/6/2024 2:41:28 AM,33496.47,0.2643269,0.6838435,60.62865
30/6/2024 2:41:28 AM,33505.07,0.2678549,0.688345,60.24716
30/6/2024 2:41:28 AM,33496.47,0.2678549,0.679342,59.56071
30/6/2024 2:41:28 AM,33505.07,0.2625691,0.688345,59.36871
30/6/2024 2:41:28 AM,33505.07,0.266097,0.6838435,61.19893
30/6/2024 2:41:28 AM,33505.07,0.2660909,0.679342,60.15163
30/6/2024 2:41:28 AM,33505.07,0.2625691,0.679342,60.03964
30/6/2024 2:41:29 AM,34006.64,0.2643269,0.6928465,61.01104
30/6/2024 2:41:29 AM,34006.64,0.2625691,0.6928464,61.40245
30/6/2024 2:41:29 AM,33997.91,0.2660909,0.7018495,60.35177
30/6/2024 2:41:29 AM,34006.64,0.264333,0.6928465,62.39798
30/6/2024 2:41:29 AM,34006.64,0.2643269,0.6973479,60.46244
30/6/2024 2:41:29 AM,33997.91,0.2678549,0.6928465,61.5897
30/6/2024 2:41:29 AM,34006.64,0.2608112,0.6928465,60.91701
30/6/2024 2:41:29 AM,34006.64,0.2696188,0.6973479,61.19879
30/6/2024 2:41:29 AM,34006.64,0.264333,0.6973479,60.83923
30/6/2024 2:41:29 AM,33997.91,0.2608112,0.6973479,59.97376
30/6/2024 2:41:29 AM,34006.64,0.266097,0.6973479,61.68319
30/6/2024 2:41:29 AM,33997.91,0.2660909,0.7018494,60.91708
30/6/2024 2:41:29 AM,33997.91,0.2625691,0.6973479,61.10483
30/6/2024 2:41:29 AM,33997.91,0.264333,0.6973479,59.49983
30/6/2024 2:41:29 AM,33997.91,0.264333,0.6928465,61.56544
30/6/2024 2:41:29 AM,34006.64,0.2625691,0.6928465,61.68317
30/6/2024 2:41:29 AM,34006.64,0.2643269,0.6973479,60.72889
30/6/2024 2:41:29 AM,33997.91,0.2696188,0.6928465,62.1184
30/6/2024 2:41:29 AM,33997.91,0.2660909,0.6973479,60.91692
30/6/2024 2:41:29 AM,33997.91,0.2660909,0.7018495,61.01104
30/6/2024 2:41:29 AM,33997.91,0.2696188,0.6928465,63.73843
30/6/2024 2:41:29 AM,33997.91,0.2660909,0.6973479,61.0026
30/6/2024 2:41:30 AM,34508.21,0.2590472,0.7018495,61.76994
30/6/2024 2:41:30 AM,34499.36,0.2749047,0.7108371,62.31585
30/6/2024 2:41:30 AM,34499.36,0.2643269,0.7108371,61.56928
30/6/2024 2:41:30 AM,34499.36,0.266097,0.7018495,62.69947
30/6/2024 2:41:30 AM,34508.21,0.2678609,0.7018495,62.43106
30/6/2024 2:41:30 AM,34499.36,0.2590472,0.7153538,60.56324
30/6/2024 2:41:30 AM,34499.36,0.2660909,0.7063509,61.0286
30/6/2024 2:41:30 AM,34499.36,0.2643269,0.7018495,60.93564
30/6/2024 2:41:30 AM,34499.36,0.2590472,0.7018495,60.67048
30/6/2024 2:41:30 AM,34499.36,0.2625691,0.7108371,61.32312
30/6/2024 2:41:30 AM,34508.21,0.2643269,0.7063509,59.90903
30/6/2024 2:41:30 AM,34499.36,0.2625691,0.7063509,60.93563
30/6/2024 2:41:30 AM,34499.36,0.2608112,0.7063509,60.65637
30/6/2024 2:41:30 AM,34508.21,0.2713828,0.7063509,63.14825
30/6/2024 2:41:30 AM,34499.36,0.264333,0.7063509,61.3998
30/6/2024 2:41:30 AM,34508.21,0.2625691,0.7018495,61.76224
30/6/2024 2:41:30 AM,34499.36,0.2696188,0.7108371,62.23109
30/6/2024 2:41:30 AM,34508.21,0.2660909,0.7063509,61.32313
30/6/2024 2:41:30 AM,34499.36,0.2625691,0.6973479,61.67749
30/6/2024 2:41:30 AM,34499.36,0.2625691,0.7018495,61.86232
30/6/2024 2:41:30 AM,34499.36,0.2608112,0.7108371,61.60103
30/6/2024 2:41:30 AM,34802.23,0.2608051,0.7153386,61.51156
30/6/2024 2:41:31 AM,35000.8,0.2572833,0.7108371,61.41343
30/6/2024 2:41:31 AM,35000.8,0.266097,0.7153386,63.58805
30/6/2024 2:41:31 AM,35009.79,0.2643269,0.7108371,62.14473
30/6/2024 2:41:31 AM,35000.8,0.2608112,0.7243263,61.22995
30/6/2024 2:41:31 AM,35000.8,0.2625691,0.7153386,61.59663
30/6/2024 2:41:31 AM,35000.8,0.2643269,0.7288278,61.32173
30/6/2024 2:41:31 AM,35000.8,0.2625691,0.7198401,61.5051
30/6/2024 2:41:31 AM,35000.8,0.2643269,0.7153386,61.41345
30/6/2024 2:41:31 AM,35000.8,0.2625691,0.71984,62.70618
30/6/2024 2:41:31 AM,35009.79,0.2625691,0.7108371,62.50878
30/6/2024 2:41:31 AM,35000.8,0.2590472,0.7153386,62.50882
30/6/2024 2:41:31 AM,35000.8,0.264333,0.7243416,62.32692
30/6/2024 2:41:31 AM,35000.8,0.2590472,0.7153386,61.13812
30/6/2024 2:41:31 AM,35000.8,0.2625691,0.7153386,62.69041
30/6/2024 2:41:31 AM,35000.8,0.2608051,0.7198401,62.32694
30/6/2024 2:41:31 AM,35000.8,0.2590411,0.7198401,63.60998
30/6/2024 2:41:31 AM,35009.79,0.2625691,0.71984,62.96233
30/6/2024 2:41:31 AM,35009.79,0.2608051,0.7153386,62.59964
30/6/2024 2:41:31 AM,35000.8,0.2590411,0.7153386,62.78112
30/6/2024 2:41:31 AM,35000.8,0.2590411,0.7243416,62.78111
30/6/2024 2:41:31 AM,35000.8,0.2590472,0.7153386,62.69041
30/6/2024 2:41:31 AM,35009.79,0.2608112,0.71984,61.96232
30/6/2024 2:41:32 AM,35502.25,0.2572833,0.728843,63.46589
30/6/2024 2:41:32 AM,35502.25,0.2625691,0.7333293,62.66078
30/6/2024 2:41:32 AM,35502.25,0.2625691,0.728843,62.84017
30/6/2024 2:41:32 AM,35502.25,0.2590411,0.7333293,63.5476
30/6/2024 2:41:32 AM,35502.25,0.2608051,0.728843,63.28007
30/6/2024 2:41:32 AM,35502.25,0.2608051,0.728843,63.35459
30/6/2024 2:41:32 AM,35502.25,0.266097,0.728843,63.92554
30/6/2024 2:41:32 AM,35502.25,0.2625691,0.7333293,63.46593
30/6/2024 2:41:32 AM,35502.25,0.2625691,0.7378308,63.91075
30/6/2024 2:41:32 AM,35502.25,0.2660909,0.728843,60.31249
30/6/2024 2:41:32 AM,35502.25,0.2555193,0.7378308,62.57098
30/6/2024 2:41:32 AM,35502.25,0.2608112,0.7333293,59.96183
30/6/2024 2:41:32 AM,35502.25,0.2608051,0.728843,63.36936
30/6/2024 2:41:32 AM,35502.25,0.2608051,0.7333293,62.83282
30/6/2024 2:41:32 AM,35502.25,0.2572833,0.7333293,62.84018
30/6/2024 2:41:32 AM,35502.25,0.2608051,0.728843,63.46589
30/6/2024 2:41:32 AM,35502.25,0.2625691,0.728843,64.10301
30/6/2024 2:41:32 AM,35502.25,0.264333,0.7333293,59.50427
30/6/2024 2:41:32 AM,35502.25,0.2608051,0.7333293,62.08329
30/6/2024 2:41:32 AM,35502.25,0.2608051,0.728843,58.10961
30/6/2024 2:41:32 AM,35502.25,0.2608051,0.728843,63.36197
30/6/2024 2:41:32 AM,35502.25,0.264333,0.728843,62.30114
30/6/2024 2:41:33 AM,36003.69,0.2608051,0.7423322,63.90861
30/6/2024 2:41:33 AM,35994.45,0.2590472,0.7423322,63.41739
30/6/2024 2:41:33 AM,36003.69,0.264333,0.7468337,63.90863
30/6/2024 2:41:33 AM,36003.69,0.2572833,0.7468337,62.72732
30/6/2024 2:41:33 AM,36003.69,0.2625691,0.7423322,63.61406
30/6/2024 2:41:33 AM,36003.69,0.2572833,0.7468337,63.90858
30/6/2024 2:41:33 AM,36003.69,0.2590472,0.7468337,63.51573
30/6/2024 2:41:33 AM,36003.69,0.2625691,0.7468337,63.41737
30/6/2024 2:41:33 AM,35994.45,0.2608051,0.7423322,62.63881
30/6/2024 2:41:33 AM,36003.69,0.264333,0.7513351,63.10363
30/6/2024 2:41:33 AM,36003.69,0.2555193,0.7423322,63.0234
30/6/2024 2:41:33 AM,36003.69,0.2608051,0.7468337,64.69144
30/6/2024 2:41:33 AM,36003.69,0.2572833,0.7468337,63.12201
30/6/2024 2:41:33 AM,36003.69,0.2590472,0.7468337,63.61401
30/6/2024 2:41:33 AM,36003.69,0.2590472,0.7468337,63.12202
30/6/2024 2:41:33 AM,36003.69,0.2625691,0.7378308,62.8363
30/6/2024 2:41:33 AM,35994.45,0.2590472,0.7423322,62.92474
30/6/2024 2:41:33 AM,36003.69,0.2590472,0.7423322,63.41737
30/6/2024 2:41:33 AM,36003.69,0.2590411,0.7468337,63.71226
30/6/2024 2:41:33 AM,35994.45,0.2590472,0.7468337,63.02342
