Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (A, B) (°)"
26/6/2024 1:24:24 PM,15000.96,0.2066225,0.9105502,292.7343
26/6/2024 1:24:24 PM,15000.96,0.208417,0.9105502,293.6725
26/6/2024 1:24:24 PM,14997.03,0.2012391,0.9105502,293.2999
26/6/2024 1:24:24 PM,15000.96,0.2030336,0.9105502,293.7708
26/6/2024 1:24:24 PM,15000.96,0.2012391,0.9105502,293.6725
26/6/2024 1:24:24 PM,15000.96,0.2030336,0.9060946,292.6442
26/6/2024 1:24:24 PM,15000.96,0.204828,0.9105502,294.4255
26/6/2024 1:24:24 PM,15000.96,0.2030336,0.9105502,292.4471
26/6/2024 1:24:24 PM,15000.96,0.2066225,0.9105502,292.5414
26/6/2024 1:24:24 PM,15000.88,0.2030336,0.9060946,293.4842
26/6/2024 1:24:25 PM,15000.88,0.2030336,0.9105502,292.4471
26/6/2024 1:24:25 PM,15502.58,0.1940489,0.9864345,296.7456
26/6/2024 1:24:25 PM,15500.99,0.1922483,1.000092,296.7607
26/6/2024 1:24:25 PM,15500.99,0.1886532,1.000092,293.5115
26/6/2024 1:24:25 PM,15500.99,0.1868587,0.9822077,292.6956
26/6/2024 1:24:25 PM,15502.58,0.1868587,0.9911497,294.2207
26/6/2024 1:24:25 PM,15500.99,0.1886532,0.9822077,292.6956
26/6/2024 1:24:25 PM,15502.58,0.1922483,1.000092,291.7732
26/6/2024 1:24:25 PM,15500.99,0.1886532,1.000092,294.5825
