Frequency (B) (Hz),Peak to peak (A) (V),Normalized Peak to Peak (A) (V) ,Peak to peak (B) (V),"Phase (A, B) (°)",,,
4499.822,0.1910794,0.737623877,1.223853,78.1767,,,
5000.32,0.1973693,0.76190478,1.151891,76.97983,,,
5000.243,0.2008912,0.775500372,1.151891,76.13871,,,
5000.243,0.2008851,0.775476824,1.151891,77.16784,,,
5000.243,0.2008912,0.775500372,1.151891,76.23325,,,
5000.243,0.1973693,0.76190478,1.151891,77.44806,,,
5000.243,0.2008912,0.775500372,1.151891,76.51442,,,
5000.243,0.1973693,0.76190478,1.151891,77.26127,,,
5000.32,0.1973693,0.76190478,1.151891,77.07446,,,
5000.243,0.1973693,0.76190478,1.151891,77.53883,,,
5000.32,0.1973693,0.76190478,1.151891,77.16786,,,
5000.243,0.1973693,0.76190478,1.151891,77.1679,,,
5000.243,0.1973693,0.76190478,1.151891,77.44807,,,
5001.536,0.1973693,0.76190478,1.151891,76.79436,,,
5500.352,0.206177,0.795905148,1.079867,74.91611,,,
5501.05,0.204413,0.789095578,1.079867,75.83736,,,
5501.05,0.206177,0.795905148,1.079867,74.7324,,,
5500.352,0.206177,0.795905148,1.079867,74.75073,,,
5500.352,0.2079409,0.802714332,1.079867,74.82426,,,
5501.05,0.204413,0.789095578,1.08887,76.48811,,,
5499.628,0.2079409,0.802714332,1.079867,74.84264,,,
5501.05,0.2079409,0.802714332,1.079867,74.73241,,,
5499.628,0.206177,0.795905148,1.079867,74.75076,,,
5500.352,0.2079409,0.802714332,1.079867,74.84261,,,
5501.05,0.2079409,0.802714332,1.079867,76.32014,,,
5499.628,0.2079409,0.802714332,1.079867,75.48567,,,
5500.352,0.206177,0.795905148,1.08887,75.57751,,,
5501.05,0.2097049,0.809523901,1.079867,74.65891,,,
5500.352,0.206177,0.795905148,1.079867,74.65887,,,
5499.628,0.204413,0.789095578,1.08887,76.60357,,,
5798.34,0.2132267,0.823119107,1.079867,74.19513,,,
5999.532,0.2114689,0.816333471,1.016877,74.49946,,,
6000.384,0.2132267,0.823119107,1.007904,74.23558,,,
6001.081,0.2114689,0.816333471,1.025849,74.40479,,,
5999.532,0.2114689,0.816333471,1.007904,74.4249,,,
6000.384,0.2132267,0.823119107,1.007904,73.38364,,,
5999.532,0.2132267,0.823119107,1.025849,73.09965,,,
6000.384,0.2114689,0.816333471,1.016877,75.63412,,,
6001.081,0.2114689,0.816333471,1.016877,74.42487,,,
6001.081,0.2114689,0.816333471,1.007904,74.59404,,,
5999.532,0.2114689,0.816333471,1.016877,74.12093,,,
6000.384,0.2149907,0.829928677,1.016877,73.38363,,,
6001.081,0.2114689,0.816333471,1.016877,74.40482,,,
6000.384,0.2114689,0.816333471,1.016877,73.47834,,,
6001.081,0.2167547,0.836738247,1.016877,74.02627,,,
5999.532,0.2132267,0.823119107,1.016877,73.55298,,,
6001.081,0.2114689,0.816333471,1.007904,74.21553,,,
6500.338,0.2185125,0.843523883,0.9538865,73.07846,,,
6500.416,0.2202765,0.850333453,0.9538865,72.43317,,,
6500.338,0.2185125,0.843523883,0.9538865,73.26237,,,
6500.416,0.2185125,0.843523883,0.9538865,73.4493,,,
6500.338,0.2202765,0.850333453,0.9538865,72.52834,,,
6500.416,0.2185125,0.843523883,0.953795,72.43854,,,
6502.081,0.2185125,0.843523883,0.9582964,72.98582,,,
6500.338,0.2185125,0.843523883,0.953795,72.25361,,,
6500.416,0.2220405,0.857143023,0.953795,71.33729,,,
6500.338,0.2185125,0.843523883,0.953795,72.34073,,,
6500.338,0.2202765,0.850333453,0.953795,71.61204,,,
6500.416,0.2185125,0.843523883,0.953795,72.52566,,,
6500.338,0.2185125,0.843523883,0.953795,72.52567,,,
6500.338,0.2185125,0.843523883,0.953795,71.54033,,,
6500.338,0.2185125,0.843523883,0.953795,72.52299,,,
7000.629,0.2238044,0.863952206,0.8998078,70.16525,,,
7000.448,0.2238044,0.863952206,0.8998078,69.70113,,,
7000.448,0.2255684,0.870761776,0.8953062,71.18661,,,
7000.629,0.2255684,0.870761776,0.8953062,71.83643,,,
7000.629,0.2238044,0.863952206,0.9043092,70.53665,,,
7000.448,0.2290903,0.884357368,0.8908048,70.351,,,
7000.629,0.2238044,0.863952206,0.8998078,69.97956,,,
7000.629,0.2238044,0.863952206,0.8953062,70.90805,,,
7000.448,0.2255623,0.870738228,0.8953062,70.35094,,,
7000.629,0.2238044,0.863952206,0.8998078,70.16526,,,
7000.629,0.2238044,0.863952206,0.9043092,70.53667,,,
7000.629,0.2238044,0.863952206,0.8953062,71.18661,,,
7000.448,0.2255684,0.870761776,0.8908048,70.72237,,,
7000.448,0.2255684,0.870761776,0.8998078,71.00092,,,
7000.629,0.2273263,0.877547798,0.8998078,69.32984,,,
7000.629,0.2238044,0.863952206,0.8998078,70.44378,,,
7339.929,0.2290841,0.884333434,0.8863033,70.28116,,,
7500.403,0.2273263,0.877547798,0.841319,69.21653,,,
7500.403,0.2308542,0.891166552,0.8458205,67.74302,,,
7500.403,0.2273263,0.877547798,0.841319,69.21355,,,
7500.48,0.2273263,0.877547798,0.8458205,69.30564,,,
7498.47,0.2290903,0.884357368,0.8458205,68.48228,,,
7500.403,0.2273263,0.877547798,0.8458205,68.39001,,,
7500.48,0.2273263,0.877547798,0.8458205,68.66105,,,
7500.48,0.2255684,0.870761776,0.8458205,69.30273,,,
7500.403,0.2290903,0.884357368,0.8458205,68.66683,,,
7500.403,0.2273263,0.877547798,0.8458205,68.57458,,,
7500.48,0.2273263,0.877547798,0.8458205,68.57462,,,
7500.403,0.2273263,0.877547798,0.8458205,68.20534,,,
7500.403,0.2273263,0.877547798,0.841319,70.30812,,,
7500.48,0.2290903,0.884357368,0.8458205,68.66688,,,
7500.48,0.2255684,0.870761776,0.8458205,69.57603,,,
7660.295,0.2308481,0.891143004,0.841319,67.9733,,,
8001.723,0.2308481,0.891143004,0.7963347,67.91048,,,
8001.723,0.2308481,0.891143004,0.7918332,67.0585,,,
8000.512,0.2308481,0.891143004,0.7918332,66.50941,,,
8000.512,0.2308481,0.891143004,0.7918332,66.79334,,,
8000.512,0.2308481,0.891143004,0.7963347,66.98269,,,
8001.723,0.2308481,0.891143004,0.7918332,66.96383,,,
8000.512,0.2308481,0.891143004,0.7918332,66.69872,,,
8000.512,0.2308481,0.891143004,0.7918332,66.69868,,,
8001.723,0.2326121,0.897952574,0.7918332,67.81578,,,
8000.512,0.2343761,0.904762144,0.7963347,67.172,,,
8000.512,0.2308481,0.891143004,0.7918332,66.67986,,,
8001.723,0.2308481,0.891143004,0.7918332,66.86921,,,
8000.512,0.2308481,0.891143004,0.7918332,66.77451,,,
7999.663,0.2308481,0.891143004,0.7918332,66.96388,,,
7999.663,0.23437,0.904738596,0.7918332,66.11208,,,
8173.54,0.2361339,0.91154778,0.7918332,68.51325,,,
8500.544,0.2343761,0.904762144,0.7468489,65.34409,,,
8500.544,0.2361339,0.91154778,0.7468489,65.71198,,,
8500.596,0.2343761,0.904762144,0.7468337,64.88217,,,
